StableReference	LongDescription	FullDescription
renaissance_container_eal_liquid_household_rundlet_03		The plain cypress wine household rundlet is built chiefly from cypress, with a deliberate silhouette and carefully fitted edges. The cypress grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the eal liquid household setting.
renaissance_container_eal_liquid_medium_storage_jar_02		The porcelain tea medium storage jar is built chiefly from porcelain, with a deliberate silhouette and carefully fitted edges. Its fired porcelain body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the eal liquid medium setting.
renaissance_container_eal_liquid_small_drinking_cup_01		The bamboo wine small drinking cup is built chiefly from bamboo, with a deliberate silhouette and carefully fitted edges. The bamboo grain is visible along its boards and braces, with the exposed edges burnished smooth. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the eal liquid small setting.
renaissance_container_jpn_liquid_pouring_ewer_01		The polished lacquer tea pouring ewer is built chiefly from lacquer, with a deliberate silhouette and carefully fitted edges. The lacquer surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the jpn liquid pouring setting.
renaissance_container_jpn_liquid_stoppered_bottle_02		The wheel-cut glass vinegar stoppered bottle is built chiefly from glass, with a deliberate silhouette and carefully fitted edges. The glass is gathered more thickly at the rim and base, giving the form a deliberate hand-made weight. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the jpn liquid stoppered setting.
renaissance_container_mea_liquid_great_storage_vat_01	A cedar water great storage vat is positioned here, its cedar surfaces contributing a practical presence to the room.	The cedar water great storage vat is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A smoothed rim and weighted base keep the vessel stable during repeated service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the mea liquid great setting.
renaissance_container_mea_liquid_great_storage_vat_02	A cypress scent-water great storage vat is positioned here, its cypress surfaces contributing a practical presence to the room.	The cypress scent-water great storage vat is built chiefly from cypress, with a deliberate silhouette and carefully fitted edges. The cypress grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the mea liquid great setting.
renaissance_container_sem_liquid_stoppered_flask_01		The riveted bronze syrup stoppered flask is built chiefly from bronze, with a deliberate silhouette and carefully fitted edges. The bronze surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the sem liquid stoppered setting.
renaissance_container_stp_liquid_large_storage_jar_01		The brass fermented milk large storage jar is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the stp liquid large setting.
renaissance_container_stp_liquid_small_drinking_cup_02		The copper oil small drinking cup is built chiefly from copper, with a deliberate silhouette and carefully fitted edges. The copper is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the stp liquid small setting.
renaissance_container_aca_liquid_pouring_ewer_01		The glazed earthenware water pouring ewer is built chiefly from earthenware, with a deliberate silhouette and carefully fitted edges. Its fired earthenware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the aca liquid pouring setting.
renaissance_container_sai_liquid_great_storage_vat_01	A wood medicine great storage vat is positioned here, its wood surfaces contributing a practical presence to the room.	The wood medicine great storage vat is built chiefly from wood, with a deliberate silhouette and carefully fitted edges. The wood surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base keep the vessel stable during repeated service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the sai liquid great setting.
renaissance_container_rse_liquid_stoppered_flask_01		The burnished copper wine stoppered flask is built chiefly from copper, with a deliberate silhouette and carefully fitted edges. The copper is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the rse liquid stoppered setting.
renaissance_container_ind_liquid_medium_storage_jar_01		The earthenware syrup medium storage jar is built chiefly from earthenware, with a deliberate silhouette and carefully fitted edges. Its fired earthenware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the ind liquid medium setting.
renaissance_container_mes_liquid_small_footed_cup_01		The wood water small footed cup is built chiefly from wood, with a deliberate silhouette and carefully fitted edges. The wood surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the mes liquid small setting.
renaissance_container_mes_liquid_washing_basin_02		The clay honey drink washing basin is built chiefly from clay, with a deliberate silhouette and carefully fitted edges. The clay surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base keep the vessel stable during repeated service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the mes liquid washing setting.
renaissance_container_and_liquid_pouring_ewer_01		The wood herbal drink pouring ewer is built chiefly from wood, with a deliberate silhouette and carefully fitted edges. The wood surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the and liquid pouring setting.
renaissance_container_car_liquid_large_pitcher_02		The burnished clay cassava-drink large pitcher is built chiefly from clay, with a deliberate silhouette and carefully fitted edges. The clay surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base keep the vessel stable during repeated service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the car liquid large setting.
renaissance_container_car_liquid_medium_storage_jar_01		The earthenware fruit drink medium storage jar is built chiefly from earthenware, with a deliberate silhouette and carefully fitted edges. Its fired earthenware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the car liquid medium setting.
renaissance_container_nac_liquid_household_pot_02		The carved wood water household pot is built chiefly from wood, with a deliberate silhouette and carefully fitted edges. The wood surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the nac liquid household setting.
renaissance_container_nac_liquid_pouring_ewer_01		The plain wood water pouring ewer is built chiefly from wood, with a deliberate silhouette and carefully fitted edges. The wood surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the nac liquid pouring setting.
renaissance_container_col_liquid_large_storage_jar_01		The copper wine large storage jar is built chiefly from copper, with a deliberate silhouette and carefully fitted edges. The copper is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the col liquid large setting.
renaissance_container_col_liquid_washing_basin_02		The painted stoneware wine washing basin is built chiefly from stoneware, with a deliberate silhouette and carefully fitted edges. Its fired stoneware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base keep the vessel stable during repeated service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the col liquid washing setting.
renaissance_container_mar_liquid_drinking_beaker_02		The wheel-cut glass wine drinking beaker is built chiefly from glass, with a deliberate silhouette and carefully fitted edges. The glass is gathered more thickly at the rim and base, giving the form a deliberate hand-made weight. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the mar liquid drinking setting.
renaissance_container_mar_liquid_small_drinking_cup_01		The wrought-iron wine small drinking cup is built chiefly from wrought iron, with a deliberate silhouette and carefully fitted edges. The wrought iron is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the mar liquid small setting.
renaissance_container_wer_personal_fitted_belt_case_02		The copper printed-sheet fitted belt case is built chiefly from copper, with a deliberate silhouette and carefully fitted edges. The copper is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the wer personal fitted setting.
renaissance_container_wer_personal_scroll_case_01		The brass-capped beech printed-sheet scroll case is built chiefly from beech, with a deliberate silhouette and carefully fitted edges. The beech surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the wer personal scroll setting.
renaissance_container_iba_personal_belt_pouch_02		The plain-woven canvas scent-bottle belt pouch is built chiefly from canvas, with a deliberate silhouette and carefully fitted edges. The canvas surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the iba personal belt setting.
renaissance_container_iba_personal_portable_writing_box_03		The chestnut cacao-sample portable writing box is built chiefly from chestnut, with a deliberate silhouette and carefully fitted edges. The chestnut surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the iba personal portable setting.
renaissance_container_iba_personal_shoulder_basket_01		The close-woven willow mission-supply shoulder basket is built chiefly from willow, with a deliberate silhouette and carefully fitted edges. The willow surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the iba personal shoulder setting.
renaissance_container_cen_personal_waterskin_sling_01		The tooled leather medicine waterskin sling is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A smoothed rim and weighted base keep the vessel stable during repeated service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the cen personal waterskin setting.
renaissance_container_nba_personal_shoulder_satchel_01		The quilted leather wax-parcel shoulder satchel is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the nba personal shoulder setting.
renaissance_container_cef_personal_portable_writing_box_01		The willow wax-seal portable writing box is built chiefly from willow, with a deliberate silhouette and carefully fitted edges. The willow surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the cef personal portable setting.
renaissance_container_eon_personal_document_wallet_01		The waxed canvas chancery-paper document wallet is built chiefly from canvas, with a deliberate silhouette and carefully fitted edges. The canvas surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the eon personal document setting.
renaissance_container_eon_personal_shoulder_basket_02		The plaited wicker fur-parcel shoulder basket is built chiefly from wicker, with a deliberate silhouette and carefully fitted edges. The wicker surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the eon personal shoulder setting.
renaissance_container_ott_personal_document_wallet_01		The embroidered leather perfume-vial document wallet is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the ott personal document setting.
renaissance_container_ott_personal_fitted_belt_case_02		The cypress chancery-paper fitted belt case is built chiefly from cypress, with a deliberate silhouette and carefully fitted edges. The cypress grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the ott personal fitted setting.
renaissance_container_pip_personal_back_pack_03		The waxed leather seal-matrix back pack is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the pip personal back setting.
renaissance_container_pip_personal_shoulder_satchel_02		The waxed leather carpet-sample shoulder satchel is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the pip personal shoulder setting.
renaissance_container_pip_personal_waist_purse_01		The doubled leather pigment waist purse is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the pip personal waist setting.
renaissance_container_sas_personal_shoulder_bag_01		The corded cotton sandalwood shoulder bag is built chiefly from cotton, with a deliberate silhouette and carefully fitted edges. The cotton surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the sas personal shoulder setting.
renaissance_container_eal_personal_portable_writing_box_02		The rattan medicine-packet portable writing box is built chiefly from rattan, with a deliberate silhouette and carefully fitted edges. The rattan grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the eal personal portable setting.
renaissance_container_eal_personal_shoulder_basket_03		The close-woven bamboo porcelain-sample shoulder basket is built chiefly from bamboo, with a deliberate silhouette and carefully fitted edges. The bamboo grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the eal personal shoulder setting.
renaissance_container_eal_personal_shoulder_basket_04		The openwork rattan book-leaf shoulder basket is built chiefly from rattan, with a deliberate silhouette and carefully fitted edges. The rattan grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the eal personal shoulder setting.
renaissance_container_eal_personal_waterskin_sling_01		The polished wood oil waterskin sling is built chiefly from wood, with a deliberate silhouette and carefully fitted edges. The wood surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base keep the vessel stable during repeated service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the eal personal waterskin setting.
renaissance_container_jpn_personal_back_pack_01		The quilted bamboo tea-utensil back pack is built chiefly from bamboo, with a deliberate silhouette and carefully fitted edges. The bamboo grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the jpn personal back setting.
renaissance_container_jpn_personal_fitted_belt_case_02		The cedar medicine-packet fitted belt case is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the jpn personal fitted setting.
renaissance_container_jpn_personal_shoulder_satchel_03		The waxed wood sword-fitting shoulder satchel is built chiefly from wood, with a deliberate silhouette and carefully fitted edges. The wood surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the jpn personal shoulder setting.
renaissance_container_mea_personal_portable_writing_box_01		The cypress tribute-paper portable writing box is built chiefly from cypress, with a deliberate silhouette and carefully fitted edges. The cypress grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the mea personal portable setting.
renaissance_container_mea_personal_shoulder_basket_02		The lidded rattan lacquerware-sample shoulder basket is built chiefly from rattan, with a deliberate silhouette and carefully fitted edges. The rattan grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the mea personal shoulder setting.
renaissance_container_sem_personal_portable_writing_box_01		The rattan silk-pattern portable writing box is built chiefly from rattan, with a deliberate silhouette and carefully fitted edges. The rattan grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the sem personal portable setting.
renaissance_container_msea_personal_belt_pouch_01		The embroidered leather pepper-sample belt pouch is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the msea personal belt setting.
renaissance_container_stp_personal_shoulder_basket_02		The reed-bound reed arrow-fitting shoulder basket is built chiefly from reed, with a deliberate silhouette and carefully fitted edges. The reed surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the stp personal shoulder setting.
renaissance_container_stp_personal_waist_purse_01		The hide-reinforced felt medicine-packet waist purse is built chiefly from felt, with a deliberate silhouette and carefully fitted edges. The felt surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the stp personal waist setting.
renaissance_container_aca_personal_portable_writing_box_02		The brass ivory-parcel portable writing box is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the aca personal portable setting.
renaissance_container_aca_personal_waist_purse_01		The embroidered leather metal-fitting waist purse is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the aca personal waist setting.
renaissance_container_sai_personal_sample_roll_case_01		The cedar seal-matrix sample roll case is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the sai personal sample setting.
renaissance_container_rse_personal_sample_roll_case_01		The brass scent-vial sample roll case is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the rse personal sample setting.
renaissance_container_ind_personal_back_pack_02		The corded leather bead-lot back pack is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the ind personal back setting.
renaissance_container_ind_personal_document_wallet_03		The quilted cotton bead-lot document wallet is built chiefly from cotton, with a deliberate silhouette and carefully fitted edges. The cotton surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the ind personal document setting.
renaissance_container_ind_personal_waterskin_sling_01		The tooled leather wine waterskin sling is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A smoothed rim and weighted base keep the vessel stable during repeated service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the ind personal waterskin setting.
renaissance_container_mes_personal_document_wallet_02		The embroidered hide obsidian-lot document wallet is built chiefly from animal skin, with a deliberate silhouette and carefully fitted edges. The animal skin surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the mes personal document setting.
renaissance_container_mes_personal_scroll_case_01		The lacquered leather shell-ornament scroll case is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the mes personal scroll setting.
renaissance_container_and_personal_document_wallet_02		The plain-woven leather metal-ornament document wallet is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the and personal document setting.
renaissance_container_and_personal_scroll_case_03		The plain leather metal-ornament scroll case is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the and personal scroll setting.
renaissance_container_and_personal_shoulder_satchel_01		The corded wool maize-measure shoulder satchel is built chiefly from wool, with a deliberate silhouette and carefully fitted edges. The wool surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the and personal shoulder setting.
renaissance_container_car_personal_shoulder_bag_01		The quilted leather cotton-lot shoulder bag is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the car personal shoulder setting.
renaissance_container_nac_personal_waterskin_sling_01		The incised gourd-shell oil waterskin sling is built chiefly from gourd shell, with a deliberate silhouette and carefully fitted edges. The gourd shell surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base keep the vessel stable during repeated service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the nac personal waterskin setting.
renaissance_container_col_personal_shoulder_bag_01		The plain-woven leather tobacco-lot shoulder bag is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the col personal shoulder setting.
renaissance_container_mar_personal_sample_roll_case_01		The oak bottle-sample roll case is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the mar personal sample setting.
renaissance_container_wer_trade_large_trade_cask_06		The cedar apothecary-stock large trade cask is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the wer trade large setting.
renaissance_container_wer_trade_lidded_trade_basket_01		The willow cloth-sample lidded trade basket is built chiefly from willow, with a deliberate silhouette and carefully fitted edges. The willow surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the wer trade lidded setting.
renaissance_container_wer_trade_locking_trade_coffer_05		The beech seal-and-weight locking trade coffer is built chiefly from beech, with a deliberate silhouette and carefully fitted edges. The beech surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the wer trade locking setting.
renaissance_container_wer_trade_marked_commodity_sack_02		The leather apothecary-stock marked commodity sack is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the wer trade marked setting.
renaissance_container_wer_trade_sealable_archive_coffer_04		The cedar silk-pattern wax-sealable archive coffer is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the wer trade sealable setting.
renaissance_container_wer_trade_segmented_packing_crate_03		The wicker seal-and-weight segmented packing crate is built chiefly from wicker, with a deliberate silhouette and carefully fitted edges. The wicker surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the wer trade segmented setting.
